,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144951,R169,R168,01-03-01,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,1599681,3972225
144952,R169,R168,01-03-01,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,1599711,3972301
144953,R169,R168,01-03-01,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,1599768,3972386
144954,R169,R168,01-03-01,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,1599851,3972531
144955,R169,R168,01-03-01,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,1599897,3972608
144956,R169,R168,01-03-01,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,1599947,3972663
144993,R169,R168,01-03-02,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,9440371,9051622
144994,R169,R168,01-03-02,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,9440404,9051667
144995,R169,R168,01-03-02,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,9440459,9051740
144996,R169,R168,01-03-02,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,9440560,9051829
144997,R169,R168,01-03-02,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,9440631,9051885
